index,start_ms,complete_ms,complete_dt_ms,success,resumed_ms,resumed_dt_ms,wait_before_next_s
0,76580419,76581703,1284,True,76581716,1297,4.962333909744
1,76586953,76587843,890,True,76587863,910,3.289146811373244
2,76591356,76592290,934,True,76592320,964,3.178483329871649
3,76595682,76596636,954,True,76596655,973,3.118623063412579
4,76599916,76601177,1261,True,76601188,1272,4.784636861687582
5,76606134,76607392,1258,True,76607401,1267,4.976650152001816
6,76612571,76613829,1258,True,76613865,1294,4.704066274476489
7,76618776,76620038,1262,True,76620065,1289,4.818772984162607
8,76625145,76626411,1266,True,76626461,1316,3.7579156747834506
9,76630487,76631528,1041,True,76631533,1046,4.66462298187447
10,76636457,76637716,1259,True,76637730,1273,4.236103000306996
11,76642120,76643083,963,True,76643134,1014,3.0009932906228327
12,76646368,76647633,1265,True,76647657,1289,3.0945651507993412
13,76650905,76652168,1263,True,76652202,1297,3.6761067662544265
14,76656036,76657300,1264,True,76657331,1295,4.496513045147344
15,76662101,76663342,1241,True,76663409,1308,3.6462161465189684
16,76667302,76668561,1259,True,76668605,1303,4.513936380437543
17,76673368,76674265,897,True,76674275,907,3.176403874226292
18,76677604,76678431,827,True,76678461,857,3.690161639039994
19,76682334,76683597,1263,True,76683610,1276,4.166868933864661
20,76687991,76689063,1072,True,76689075,1084,4.279321009173981
21,76693630,76694904,1274,True,76694945,1315,3.4879134649027286
22,76698699,76699968,1269,True,76700014,1315,4.242981507226375
23,76704481,76705627,1146,True,76705632,1151,3.1817273975284706
24,76709025,76710285,1260,True,76710289,1264,3.2228416862774862
25,76713716,76714982,1266,True,76715020,1304,3.2720270472216457
26,76718492,76719632,1140,True,76719679,1187,3.111070806712936
27,76723087,76724433,1346,True,76724477,1390,4.628389954664727
28,76729300,76730168,868,True,76730216,916,3.4227123802720385
29,76733825,76734731,906,True,76734751,926,4.853239814518185
30,76739778,76741038,1260,True,76741081,1303,4.865270401976541
31,76746130,76747055,925,True,76747076,946,3.774465640394749
32,76751066,76752324,1258,True,76752349,1283,3.0329914983037156
33,76755532,76756795,1263,True,76756811,1279,4.719142817812319
34,76761712,76762540,828,True,76762558,846,3.0210775534340457
35,76765744,76767012,1268,True,76767017,1273,3.1136200000381105
36,76770283,76771271,988,True,76771283,1000,3.71669788921193
37,76775256,76776520,1264,True,76776553,1297,4.389199158629718
38,76781111,76782378,1267,True,76782420,1309,4.657299815451171
39,76787379,76788641,1262,True,76788686,1307,3.4900955137177783
40,76792399,76793669,1270,True,76793687,1288,3.1912007140981737
41,76797077,76798341,1264,True,76798356,1279,3.116558671218239
42,76801629,76802799,1170,True,76802830,1201,4.844395023553652
43,76807897,76809163,1266,True,76809166,1269,4.053493618466822
44,76813446,76814708,1262,True,76814758,1312,3.2234905386724293
45,76818237,76819591,1354,True,76819628,1391,4.347565468946555
46,76824146,76825263,1117,True,76825278,1132,3.967512727807072
47,76829445,76830322,877,True,76830361,916,4.653695719314884
48,76835217,76836183,966,True,76836222,1005,3.631791581379213
49,76840048,76841308,1260,True,76841355,1307,3.9843880557468676
50,76845546,76846795,1249,True,76846832,1286,4.358356462960067
51,76851402,76852658,1256,True,76852687,1285,4.1991459415276395
52,76857046,76858313,1267,True,76858356,1310,4.630814296772865
53,76863208,76864223,1015,True,76864289,1081,4.294467794660033
54,76868865,76869733,868,True,76869764,899,4.731047355976117
55,76874690,76875541,851,True,76875557,867,3.8008213594167315
56,76879513,76880786,1273,True,76880822,1309,3.2629482612415726
57,76884330,76885590,1260,True,76885629,1299,4.137934018723856
58,76890052,76891308,1256,True,76891364,1312,3.341978278629422
59,76894935,76895746,811,True,76895761,826,3.865969701389319
60,76899867,76900767,900,True,76900819,952,3.3967095892229775
61,76904378,76905203,825,True,76905235,857,4.898007422660857
62,76910270,76911549,1279,True,76911569,1299,4.042703221127862
63,76915752,76917013,1261,True,76917024,1272,3.144269165904137
64,76920369,76921626,1257,True,76921633,1264,3.9574416645882966
65,76925804,76927076,1272,True,76927087,1283,4.483409426405654
66,76931739,76933002,1263,True,76933031,1292,3.805731519881414
67,76937085,76938346,1261,True,76938360,1275,4.994811752855985
68,76943574,76944838,1264,True,76944901,1327,4.883665428668186
69,76950016,76950861,845,True,76950885,869,3.918152655145784
70,76954992,76956255,1263,True,76956299,1307,3.3475016972519995
71,76959890,76961155,1265,True,76961170,1279,3.2546376961073493
72,76964578,76965495,917,True,76965506,928,4.086235891627402
73,76969766,76970857,1091,True,76970898,1132,4.053108111002945
74,76975209,76976474,1265,True,76976493,1284,4.3620714435008185
75,76981152,76982419,1267,True,76982433,1281,3.677193263399646
76,76986303,76987584,1281,True,76987626,1323,3.7768681045229906
77,76991644,76992474,830,True,76992501,857,4.478076175566717
78,76997189,76998279,1090,True,76998300,1111,3.7457428474133883
79,77002230,77003121,891,True,77003154,924,4.323464250392675
80,77007708,77008853,1145,True,77008905,1197,3.6116876630372285
81,77012658,77013918,1260,True,77013963,1305,4.847554717250478
82,77019057,77020303,1246,True,77020356,1299,3.8814227929692855
83,77024378,77025628,1250,True,77025690,1312,4.459253075957182
84,77030385,77031332,947,True,77031377,992,3.22645278005853
85,77034723,77035924,1201,True,77035975,1252,4.44299426668562
86,77040625,77041891,1266,True,77041902,1277,3.6235935006006414
87,77045691,77046644,953,True,77046706,1015,4.057362554561932
88,77051043,77052311,1268,True,77052356,1313,3.7703879951381998
89,77056346,77057600,1254,True,77057628,1282,4.397095332042061
90,77062174,77063441,1267,True,77063491,1317,4.506066607699209
91,77068248,77069515,1267,True,77069573,1325,3.329352677949621
92,77073131,77074218,1087,True,77074239,1108,3.728774313982296
93,77078215,77079487,1272,True,77079508,1293,3.672194182189819
94,77083346,77084585,1239,True,77084641,1295,3.7234527515110516
95,77088515,77089700,1185,True,77089702,1187,3.881454121329221
96,77093738,77094999,1261,True,77095040,1302,4.146453279554833
97,77099365,77100632,1267,True,77100708,1343,3.1274916556466525
98,77104066,77105329,1263,True,77105377,1311,3.8854792563237694
99,77109524,77110597,1073,True,77110660,1136,
