index,start_ms,complete_ms,complete_dt_ms,success,resumed_ms,resumed_dt_ms,wait_before_next_s
0,73523836,73525129,1293,True,73525149,1313,3.2245991755451344
1,73528576,73529840,1264,True,73529888,1312,3.898930310078544
2,73533975,73535248,1273,True,73535288,1313,3.2975425169166934
3,73538742,73539996,1254,True,73540010,1268,3.8564436655587073
4,73544093,73545347,1254,True,73545412,1319,4.458998123015705
5,73550094,73551363,1269,True,73551425,1331,4.385488364503971
6,73555967,73557242,1275,True,73557287,1320,3.57566018347591
7,73561096,73562170,1074,True,73562214,1118,3.7526562562576053
8,73566133,73567510,1377,True,73567545,1412,3.298966797583581
9,73571006,73572276,1270,True,73572289,1283,3.707207263774142
10,73576243,73577207,964,True,73577223,980,4.485555962645824
11,73581910,73583175,1265,True,73583219,1309,4.450149974448635
12,73587883,73589154,1271,True,73589215,1332,4.85584970407873
13,73594197,73595458,1261,True,73595483,1286,3.0499255967470447
14,73598782,73600043,1261,True,73600083,1301,3.4295054029795766
15,73603765,73605015,1250,True,73605080,1315,4.8968385571665625
16,73610217,73611438,1221,True,73611490,1273,3.2420797832956016
17,73614954,73616211,1257,True,73616230,1276,4.248960855898795
18,73620697,73621960,1263,True,73622032,1335,4.754007265811366
19,73626951,73628211,1260,True,73628222,1271,3.608087473430489
20,73631999,73633266,1267,True,73633299,1300,3.2148444664826368
21,73636731,73637998,1267,True,73638036,1305,4.030051089230103
22,73642305,73643560,1255,True,73643564,1259,3.6691487180624636
23,73647433,73648696,1263,True,73648697,1263,3.2374350246998747
24,73652132,73653389,1257,True,73653431,1299,3.1711197247476113
25,73656737,73657992,1255,True,73658020,1283,3.165170298871707
26,73661434,73662697,1263,True,73662755,1321,3.734685750374945
27,73666750,73668006,1256,True,73668030,1280,3.2053812584054606
28,73671394,73672661,1267,True,73672683,1289,4.437393501619582
29,73677293,73678560,1267,True,73678566,1273,
