index,start_ms,complete_ms,complete_dt_ms,success,resumed_ms,resumed_dt_ms,wait_before_next_s
0,72276859,72278293,1434,True,72278296,1437,4.698365868528111
1,72283158,72284150,992,True,72284169,1011,4.037774308553506
2,72288361,72289781,1420,True,72289786,1425,3.3627579027256163
3,72293319,72294738,1419,True,72294772,1453,4.898382467301888
4,72299907,72301315,1408,True,72301370,1462,3.275784530851953
5,72304893,72306312,1419,True,72306365,1472,4.9161434585432575
6,72311542,72312948,1406,True,72312959,1417,4.499673820736459
7,72317673,72319095,1422,True,72319099,1426,4.001046649254732
8,72323271,72324693,1422,True,72324695,1424,3.249371758503228
9,72328106,72329527,1421,True,72329564,1458,3.336374360099101
10,72333055,72334459,1404,True,72334485,1430,4.021317430481239
11,72338655,72339719,1064,True,72339772,1117,3.01946065867417
12,72342991,72344395,1404,True,72344435,1444,4.769589235048854
13,72349452,72350807,1355,True,72350835,1383,4.163200573019488
14,72355135,72356320,1185,True,72356370,1234,3.544323488496638
15,72360099,72361114,1015,True,72361163,1064,3.387008398020488
16,72364722,72366131,1409,True,72366172,1450,4.656097486216284
17,72371066,72372471,1405,True,72372502,1436,4.2491780084030095
18,72377030,72378435,1405,True,72378496,1466,4.953350473165553
19,72383661,72385072,1411,True,72385107,1446,4.9992415022686645
20,72390330,72391744,1414,True,72391769,1439,4.1499972964015495
21,72396132,72397544,1412,True,72397574,1442,3.099941885497899
22,72400854,72401881,1027,True,72401907,1053,3.230878219300772
23,72405312,72406430,1118,True,72406446,1134,3.705654015032666
24,72410364,72411775,1411,True,72411825,1461,3.9686658947969615
25,72415963,72417372,1409,True,72417380,1417,4.894895146385739
26,72422513,72423553,1040,True,72423571,1058,4.709855491962125
27,72428458,72429629,1171,True,72429646,1188,3.360893183987668
28,72433259,72434687,1428,True,72434702,1443,4.631298037257356
29,72439557,72440968,1411,True,72440986,1428,
