index,start_ms,complete_ms,complete_dt_ms,success,resumed_ms,resumed_dt_ms,wait_before_next_s
0,69984007,69985613,1606,True,69985653,1646,9.739335806228206
1,69995621,69997569,1948,True,69997584,1963,5.8762129080949475
2,70003686,70005647,1961,True,70005662,1976,5.726644066032005
3,70011637,70013607,1970,True,70013667,2030,9.117991883569129
4,70023029,70024961,1932,True,70024987,1958,5.9695828827201405
5,70031183,70032844,1661,True,70032854,1671,5.376637335680993
6,70038413,70040364,1951,True,70040385,1972,6.131783556411586
7,70046822,70048400,1578,True,70048465,1643,4.6801894161577655
8,70053376,70055317,1941,True,70055330,1954,4.276646636661059
9,70059836,70061789,1953,True,70061805,1969,3.117210478179942
10,70065155,70067102,1947,True,70067132,1977,3.0149231842299447
11,70070394,70072011,1617,True,70072071,1677,4.014662507529376
12,70076295,70077975,1680,True,70078008,1712,8.621553585792569
13,70086830,70088739,1909,True,70088813,1983,4.874254812483862
14,70093945,70096059,2114,True,70096070,2125,7.715463542869742
15,70103939,70105449,1510,True,70105466,1527,5.464705628179818
16,70111228,70113177,1949,True,70113207,1979,3.342788242042812
17,70116754,70118726,1972,True,70118732,1978,5.672443554201618
18,70124638,70126238,1600,True,70126268,1630,6.8172036287420905
19,70133319,70134952,1633,True,70135004,1685,5.440916256351384
20,70140692,70142652,1960,True,70142683,1991,9.470269102772296
21,70152375,70154360,1985,True,70154396,2021,4.366129637718171
22,70158898,70160524,1626,True,70160547,1649,4.514982817310954
23,70165255,70166945,1690,True,70167003,1748,7.532750263191249
24,70174788,70176771,1983,True,70176803,2015,8.915006213211946
25,70185940,70187471,1531,True,70187480,1540,6.120184458194
26,70193817,70195773,1956,True,70195797,1980,4.594172815249767
27,70200577,70202184,1607,True,70202210,1633,8.551997948509102
28,70210981,70212543,1562,True,70212604,1623,4.294775378593893
29,70217135,70218628,1493,True,70218666,1531,6.482447746223745
30,70225400,70227138,1738,True,70227210,1810,9.126699299394321
31,70236548,70238446,1898,True,70238475,1927,3.1372579661517577
32,70241779,70243681,1902,True,70243746,1967,5.7402416294843075
33,70249756,70251449,1693,True,70251471,1715,5.010966940167105
34,70256664,70258298,1634,True,70258343,1679,4.799109390630454
35,70263299,70264855,1556,True,70264870,1571,3.618064382288775
36,70268748,70270308,1560,True,70270355,1607,6.508994854180609
37,70276963,70278921,1958,True,70278939,1976,7.277140548757598
38,70286429,70287941,1512,True,70287951,1522,6.088653353767179
39,70294296,70296045,1749,True,70296078,1782,3.9319290072084034
40,70300203,70302154,1951,True,70302209,2006,7.294934679757899
41,70309666,70311604,1938,True,70311615,1949,4.84521390598697
42,70316711,70318685,1974,True,70318694,1983,3.6533577892648923
