total,intent_to_start,drain,out,cmd_to_len,payload,trailer,save,save_raw,save_correct,save_metadata,save_scan
1283,1,60,1,1103,77,1,41,2,0,19,0
889,1,54,1,739,70,1,24,3,0,18,0
933,1,56,1,781,74,0,21,3,0,13,1
953,1,58,0,789,77,0,29,1,0,9,0
1259,1,60,2,1106,72,0,19,2,0,13,0
1258,0,54,1,1106,75,1,21,2,0,12,0
1258,0,58,0,1106,74,0,20,3,0,14,0
1262,0,60,1,1108,74,0,19,2,0,13,0
1265,1,60,0,1110,77,0,18,1,0,13,1
1039,2,56,1,890,73,0,19,2,0,12,0
1258,1,54,1,1120,64,0,19,2,0,11,0
961,1,60,1,796,79,1,24,2,0,15,0
1264,1,59,1,1108,75,0,21,3,0,12,0
1262,1,58,1,1112,72,0,19,4,0,10,0
1264,0,60,1,1110,70,0,23,4,0,14,0
1238,3,57,1,1085,75,1,19,2,0,13,0
1255,3,55,0,1108,74,1,17,3,0,11,0
895,2,55,1,743,72,1,23,2,0,14,0
826,1,59,1,670,68,1,27,3,0,8,0
1262,1,57,0,1106,78,1,20,1,0,17,0
1071,1,0,307,677,67,0,20,3,0,11,0
1266,8,54,1,1106,81,1,23,2,0,12,0
1267,2,56,1,1113,76,1,20,2,0,13,1
1145,1,58,1,987,78,0,21,3,0,13,0
1258,1,58,0,1105,74,0,21,2,0,15,0
1265,1,59,1,1112,74,1,18,2,0,12,1
1138,1,55,1,999,65,0,18,2,0,11,0
1343,2,0,151,1109,70,0,13,1,0,10,0
867,1,60,0,715,67,1,24,1,0,11,0
905,1,63,0,748,71,1,22,3,0,12,1
1255,4,54,1,1104,76,1,19,2,0,12,0
924,0,55,0,781,69,1,18,2,0,15,0
1257,1,61,1,1112,70,0,13,1,0,8,0
1261,2,54,1,1112,75,1,18,1,0,12,0
827,1,55,1,680,69,0,22,2,0,13,0
1267,1,58,0,1108,80,1,20,3,0,10,0
987,1,56,1,835,73,0,22,2,0,14,0
1262,1,55,1,1109,74,0,23,4,0,13,0
1266,1,57,0,1113,77,0,19,1,0,13,0
1260,2,59,1,1111,74,0,15,1,0,10,0
1269,1,61,1,1110,76,0,21,2,0,14,0
1263,1,54,1,1111,77,0,20,2,0,14,1
1169,1,55,0,1020,75,1,18,2,0,12,0
1264,2,53,0,1112,74,1,24,3,0,14,0
1261,1,59,0,1109,69,0,24,2,0,14,1
1353,1,1,151,1104,75,0,22,3,0,14,0
1116,1,53,1,968,74,1,19,2,0,13,1
874,3,58,1,728,72,0,15,1,0,12,0
966,0,55,1,818,69,0,23,2,0,15,1
1259,1,56,0,1110,76,0,17,2,0,9,1
1248,1,54,0,1103,74,1,16,1,0,14,0
1254,1,54,0,1108,74,0,18,2,0,12,0
1266,1,61,1,1106,78,1,19,1,0,11,0
1014,1,0,151,768,75,0,20,2,0,13,0
866,1,59,1,720,68,0,18,2,0,15,0
850,1,57,0,699,75,0,19,1,0,11,0
1264,8,55,0,1110,75,0,24,3,0,14,0
1258,2,58,0,1107,74,1,18,2,0,13,0
1255,1,55,0,1109,73,0,18,2,0,11,1
810,1,56,1,663,72,1,17,1,0,12,0
897,3,58,1,738,77,0,23,2,0,13,0
824,1,57,1,678,63,0,25,1,0,19,0
1278,1,57,1,1125,71,1,23,7,0,13,0
1259,2,54,1,1109,73,0,22,2,0,13,0
1256,1,54,1,1103,75,2,21,2,0,12,0
1270,1,60,2,1111,75,0,22,3,0,14,0
1262,1,61,0,1107,77,0,17,2,0,12,0
1259,2,60,0,1112,72,0,15,1,0,10,0
1264,0,58,1,1106,77,0,22,2,0,14,0
843,2,57,1,699,66,0,20,2,0,14,0
1263,0,56,1,1110,78,0,18,1,0,13,1
1263,2,56,1,1111,75,1,19,3,0,11,1
900,17,57,1,760,67,0,15,1,0,12,0
1091,0,54,0,941,71,0,25,3,0,15,0
1264,1,58,1,1112,71,1,21,2,0,13,0
1266,1,56,0,1112,76,0,22,3,0,13,0
1259,22,55,0,1111,72,0,21,2,0,15,0
829,1,59,1,676,75,0,18,1,0,13,0
1089,1,58,0,932,78,0,21,3,0,15,0
889,2,57,1,739,71,0,21,3,0,16,0
1143,1,56,0,1000,69,1,17,2,0,13,0
1259,0,55,0,1109,76,0,19,3,0,12,0
1245,1,58,1,1105,68,0,13,1,0,10,0
1248,1,57,1,1105,72,0,13,1,0,9,0
939,8,59,0,777,69,0,34,2,0,13,0
1200,1,60,2,1059,67,0,12,1,0,9,0
1266,0,59,1,1108,74,1,23,5,0,13,0
951,1,58,0,793,78,0,22,3,0,15,0
1266,2,55,1,1112,79,0,19,2,0,13,0
1253,1,53,0,1105,73,0,22,4,0,14,0
1265,2,56,0,1114,73,1,21,2,0,14,0
1266,0,57,0,1109,77,0,23,5,0,11,0
1086,1,60,1,937,69,0,19,2,0,11,1
1271,1,60,1,1109,80,0,21,3,0,12,0
1236,3,59,1,1081,70,0,25,3,0,12,0
1184,1,1,151,945,67,0,20,1,0,15,0
1260,1,58,0,1109,75,0,18,2,0,13,0
1266,1,59,1,1110,75,0,21,2,0,13,0
1260,2,57,1,1111,72,0,19,1,0,14,0
1071,1,57,0,919,72,0,23,2,0,15,0
