total,intent_to_start,drain,out,cmd_to_len,payload,trailer,save,save_raw,save_correct,save_metadata,save_scan
1291,2,58,1,1108,76,1,47,3,0,21,0
1263,1,59,1,1124,54,0,25,1,0,14,0
1270,3,56,0,1118,68,0,28,4,0,16,0
1253,1,57,1,1104,76,1,14,2,0,11,0
1253,1,59,0,1112,68,1,13,1,0,9,0
1259,10,57,0,1105,75,0,22,2,0,12,0
1273,2,55,0,1112,75,1,30,1,0,13,0
1074,0,1,152,836,67,0,18,2,0,11,0
1357,20,1,151,1112,74,1,18,2,0,13,0
1269,1,61,1,1108,72,1,26,3,0,16,0
963,1,57,0,814,68,1,23,3,0,12,1
1263,1,57,1,1108,76,1,20,3,0,13,0
1269,2,59,1,1112,76,1,20,2,0,13,0
1258,2,58,0,1111,74,0,15,1,0,13,0
1260,1,53,1,1118,67,0,21,2,0,13,0
1249,1,54,1,1107,75,0,12,1,0,10,0
1220,1,58,1,1070,79,0,12,3,0,6,0
1255,1,58,0,1105,74,1,17,2,0,13,0
1260,2,57,1,1112,74,0,16,2,0,11,0
1259,1,60,1,1106,79,0,13,2,0,7,0
1266,1,57,0,1112,79,0,18,2,0,13,0
1265,2,56,0,1110,75,0,24,4,0,13,0
1253,2,53,1,1108,72,1,18,1,0,12,0
1263,0,55,1,1111,73,1,22,2,0,16,0
1256,1,57,0,1110,75,0,14,2,0,8,0
1253,2,57,1,1103,73,0,19,2,0,13,0
1261,2,60,1,1104,76,0,20,3,0,10,0
1254,1,53,1,1106,74,0,20,2,0,14,0
1266,1,62,0,1104,77,1,22,2,0,16,0
1266,1,58,1,1108,80,0,19,2,0,12,0
