total,intent_to_start,drain,out,cmd_to_len,payload,trailer,save,save_raw,save_correct,save_metadata,save_scan
1433,1,204,1,1107,74,1,46,4,0,16,0
991,1,205,0,689,77,0,20,2,0,15,0
1418,1,206,0,1104,80,0,28,5,0,12,0
1418,1,208,0,1104,85,0,21,1,0,16,1
1407,1,204,1,1110,76,1,15,4,0,6,1
1418,1,206,0,1124,69,0,19,1,0,16,0
1404,2,205,1,1104,77,0,17,2,0,11,0
1421,1,208,0,1118,72,1,22,5,0,11,0
1422,0,206,1,1122,69,1,23,3,0,11,1
1419,2,205,0,1111,85,1,17,3,0,9,0
1402,2,203,0,1104,78,0,17,1,0,13,0
1064,0,209,0,758,70,1,26,8,0,12,0
1403,1,208,1,1103,74,1,16,1,0,13,0
1349,2,206,1,1052,75,0,15,1,0,8,0
1184,1,208,0,887,71,0,18,2,0,15,0
1013,2,204,0,712,76,0,21,2,0,15,0
1408,1,210,1,1113,70,0,14,1,0,12,0
1404,1,201,1,1108,80,0,14,2,0,8,0
1403,2,206,0,1109,71,0,17,2,0,12,0
1410,1,207,0,1108,76,0,19,3,0,12,0
1413,1,205,1,1111,74,0,22,3,0,13,0
1411,1,209,0,1105,77,0,20,1,0,14,0
1025,2,205,0,717,79,1,23,2,0,16,0
1117,1,215,0,814,75,0,13,1,0,10,0
1410,1,207,0,1105,78,0,20,2,0,14,0
1408,1,204,1,1109,76,0,18,2,0,11,0
1039,1,203,0,737,79,1,19,2,0,13,0
1169,2,204,0,870,68,1,26,2,0,19,0
1427,1,208,0,1110,88,1,20,3,0,12,0
1410,1,202,0,1108,80,0,20,3,0,12,0
